Processes	ID	User	Host	Database	Command	Time	Status	SQL query
Kill	3062	root	172.20.8.30:56214	mtm_wip_application_winforms	Sleep	956	---	---
Kill	3063	root	172.20.8.30:56215	mtm_wip_application_winforms	Sleep	941	---	---
Kill	3088	root	172.18.0.13:49882	mtm_wip_application_winforms	Sleep	931	---	---
Kill	3089	root	172.18.0.13:57458	mtm_wip_application_winforms	Sleep	926	---	---
Kill	3090	root	172.20.8.30:57459	mtm_wip_application_winforms	Sleep	401	---	---
Kill	3091	root	172.20.8.30:57482	mtm_wip_application_winforms	Sleep	400	---	---
Kill	3092	root	172.20.8.30:57483	mtm_wip_application_winforms	Sleep	396	---	---
Kill	3093	root	172.20.8.30:57484	mtm_wip_application_winforms	Sleep	391	---	---
Kill	3094	root	172.20.8.30:57485	mtm_wip_application_winforms	Sleep	431	---	---
Kill	3095	root	172.20.8.30:57486	mtm_wip_application_winforms	Sleep	430	---	---
Kill	3096	root	172.20.8.30:57487	mtm_wip_application_winforms	Sleep	426	---	---
Kill	3097	root	172.20.8.30:57488	mtm_wip_application_winforms	Sleep	421	---	---
Kill	3098	root	172.20.8.30:61040	mtm_wip_application_winforms	Sleep	416	---	---
Kill	3099	root	172.20.8.30:61042	mtm_wip_application_winforms	Sleep	411	---	---
Kill	3100	root	172.20.8.30:61043	mtm_wip_application_winforms	Sleep	406	---	---
Kill	3101	root	172.18.0.13:61514	mtm_wip_application_winforms	Sleep	386	---	---
Kill	3102	root	172.18.0.13:51443	mtm_wip_application_winforms	Sleep	381	---	---
Kill	3103	root	172.20.8.30:54175	mtm_wip_application_winforms	Sleep	100	---	---
Kill	3104	root	172.20.8.30:51653	mtm_wip_application_winforms	Sleep	96	---	---
Kill	3105	root	172.20.8.30:60792	mtm_wip_application_winforms	Sleep	91	---	---
Kill	3106	root	172.20.8.30:60793	mtm_wip_application_winforms	Sleep	86	---	---
Kill	3107	root	172.20.8.30:60794	mtm_wip_application_winforms	Sleep	81	---	---
Kill	3108	root	172.20.8.30:60795	mtm_wip_application_winforms	Sleep	76	---	---
Kill	3109	root	172.20.8.30:60796	mtm_wip_application_winforms	Sleep	121	---	---
Kill	3110	root	172.20.8.30:60797	mtm_wip_application_winforms	Sleep	116	---	---
Kill	3111	root	172.20.8.30:60798	mtm_wip_application_winforms	Sleep	111	---	---
Kill	3112	root	172.20.8.30:54366	mtm_wip_application_winforms	Sleep	106	---	---
Kill	3113	root	172.20.8.30:54367	mtm_wip_application_winforms	Sleep	101	---	---
Kill	3114	root	172.18.0.203:50405	mtm_wip_application_winforms	Sleep	12	---	---
Kill	3115	root	172.18.0.203:50410	mtm_wip_application_winforms	Sleep	7	---	---
Kill	3116	root	172.18.0.203:50415	mtm_wip_application_winforms	Sleep	1	---	---
Kill	3117	root	172.18.0.203:57311	mtm_wip_application_winforms	Sleep	22	---	---
Kill	3170	root	172.18.0.13:62303	mtm_wip_application_winforms	Sleep	71	---	---
Kill	3171	root	172.18.0.13:62306	mtm_wip_application_winforms	Sleep	70	---	---
Kill	3172	root	172.18.0.13:58191	mtm_wip_application_winforms	Sleep	66	---	---
Kill	3173	root	172.20.8.30:59881	mtm_wip_application_winforms	Sleep	11	---	---
Kill	3174	root	172.20.8.30:63835	mtm_wip_application_winforms	Sleep	10	---	---
Kill	3175	root	172.20.8.30:52429	mtm_wip_application_winforms	Sleep	6	---	---
Kill	3176	root	172.20.8.30:52430	mtm_wip_application_winforms	Sleep	1	---	---
Kill	3177	root	172.20.8.30:52431	mtm_wip_application_winforms	Sleep	41	---	---
Kill	3178	root	172.20.8.30:52432	mtm_wip_application_winforms	Sleep	40	---	---
Kill	3179	root	172.20.8.30:52433	mtm_wip_application_winforms	Sleep	36	---	---
Kill	3180	root	172.20.8.30:52437	mtm_wip_application_winforms	Sleep	31	---	---
Kill	3181	root	172.20.8.30:51543	mtm_wip_application_winforms	Sleep	26	---	---
Kill	3182	root	172.20.8.30:51544	mtm_wip_application_winforms	Sleep	21	---	---
Kill	3183	root	172.20.8.30:50681	mtm_wip_application_winforms	Sleep	16	---	---
Kill	3184	root	localhost:53573	mysql	Query	0	starting	SHOW PROCESSLIST
Kill	3185	root	localhost:53574	None	Sleep	0	---	---
